,dur,staA_id,staA_name,staB_id,staB_name,veh_id,passen_type,passen_gender,travel_date,travel_id,veh_count
107,5 minutes,3,Powell St BART Station (Market St at 4th St),16,Steuart St at Market St,593,2,Female,7/16/2020,931,26
108,6 minutes,3,Powell St BART Station (Market St at 4th St),16,Steuart St at Market St,1514,2,Male,1/18/2020,23076,22
109,9 minutes,5,Powell St BART Station (Market St at 5th St),81,Berry St at 4th St,5224,2,Female,10/27/2021,15778,5
110,8 minutes,5,Powell St BART Station (Market St at 5th St),55,Webster St at Grove St,5528,2,Male,10/20/2020,22962,8
111,9 minutes,5,Powell St BART Station (Market St at 5th St),76,McCoppin St at Valencia St,4574,2,Male,2/4/2019,20022,9
112,6 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,2152,2,Male,11/11/2017,24185,32
113,8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),58,Market St at 10th St,5070,2,Male,1/4/2019,20167,3
114,19 minutes,3,Powell St BART Station (Market St at 4th St),121,Mission Playground,3491,3,Male,6/26/2019,8875,18
115,4 minutes,81,Berry St at 4th St,93,4th St at Mission Bay Blvd S,223,1,Male,6/16/2017,12035,34
116,3 minutes,3,Powell St BART Station (Market St at 4th St),21,Montgomery St BART Station (Market St at 2nd St),2568,2,Male,1/27/2018,1318,30
117,8 minutes,5,Powell St BART Station (Market St at 5th St),47,4th St at Harrison St,5474,2,Female,1/7/2017,13148,31
118,3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),321,5th St at Folsom,5245,1,Male,8/28/2020,12728,11
119,19 minutes,16,Steuart St at Market St,85,Church St at Duboce Ave,4814,1,Male,9/25/2019,23748,26
120,16 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),112,Harrison St at 17th St,5546,2,Female,3/28/2017,277,21
121,20 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),72,Page St at Scott St,1122,3,Male,11/4/2021,21,9
122,27 minutes,22,Howard St at Beale St,345,Hubbell St at 16th St,5294,1,Female,8/20/2019,19430,38
123,5 minutes,21,Montgomery St BART Station (Market St at 2nd St),23,The Embarcadero at Steuart St,4924,2,Male,9/11/2019,13964,10
124,16 minutes,22,Howard St at Beale St,125,20th St at Bryant St,4942,3,Male,4/15/2017,8183,36
125,12 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),74,Laguna St at Hayes St,5253,1,Male,5/11/2017,16786,26
126,10 minutes,81,Berry St at 4th St,321,5th St at Folsom,4832,1,Male,6/6/2021,5618,5
127,25 minutes,3,Powell St BART Station (Market St at 4th St),134,Valencia St at 24th St,2738,2,Female,11/27/2019,12710,38
128,9 minutes,5,Powell St BART Station (Market St at 5th St),73,Pierce St at Haight St,4414,3,Female,1/3/2020,15945,2
129,11 minutes,16,Steuart St at Market St,6,The Embarcadero at Sansome St,5427,1,Male,1/28/2018,12263,9
130,9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),75,Market St at Franklin St,6235,2,Male,1/23/2020,9787,34
131,14 minutes,3,Powell St BART Station (Market St at 4th St),223,16th St Mission BART Station 2,5570,2,Other,11/21/2017,19001,26
132,14 minutes,3,Powell St BART Station (Market St at 4th St),223,16th St Mission BART Station 2,5328,3,Female,12/4/2018,4322,25
133,11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),33,Golden Gate Ave at Hyde St,5571,2,Male,4/25/2019,4110,38
134,16 minutes,22,Howard St at Beale St,115,Jackson Playground,5332,2,Male,1/21/2018,10288,36
135,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),5,Powell St BART Station (Market St at 5th St),4574,2,Male,6/19/2021,13175,31
136,14 minutes,22,Howard St at Beale St,114,Rhode Island St at 17th St,5445,3,Male,10/2/2017,15182,30
137,10 minutes,16,Steuart St at Market St,92,Mission Bay Kids Park,4413,2,Male,3/18/2020,3414,39
138,9 minutes,16,Steuart St at Market St,92,Mission Bay Kids Park,5392,3,Male,11/3/2019,18773,28
139,17 minutes,22,Howard St at Beale St,356,Valencia St at Clinton Park,5325,1,Male,1/18/2021,7326,2
140,10 minutes,30,San Francisco Caltrain (Townsend St at 4th St),58,Market St at 10th St,5222,3,Male,5/13/2019,10620,22
141,24 minutes,21,Montgomery St BART Station (Market St at 2nd St),21,Montgomery St BART Station (Market St at 2nd St),5353,1,Male,9/24/2020,16242,38
142,8 minutes,5,Powell St BART Station (Market St at 5th St),74,Laguna St at Hayes St,4968,2,Female,7/4/2018,20114,39
143,6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),37,2nd St at Folsom St,5526,3,Male,7/2/2019,7738,37
144,18 minutes,21,Montgomery St BART Station (Market St at 2nd St),134,Valencia St at 24th St,5485,3,Other,7/10/2019,6832,21
145,9 minutes,21,Montgomery St BART Station (Market St at 2nd St),343,Bryant St at 2nd St,3397,2,Female,6/7/2019,19734,27
146,11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),9,Broadway at Battery St,4728,3,Female,6/24/2019,5529,33
147,14 minutes,5,Powell St BART Station (Market St at 5th St),126,Esprit Park,1338,1,Male,8/25/2021,3137,3
148,13 minutes,21,Montgomery St BART Station (Market St at 2nd St),86,Market St at Dolores St,4426,1,Male,10/25/2020,15134,13
149,17 minutes,3,Powell St BART Station (Market St at 4th St),85,Church St at Duboce Ave,149,3,Male,11/27/2021,12406,5
150,5 minutes,16,Steuart St at Market St,10,Washington St at Kearny St,3554,2,Male,3/3/2019,25022,0
151,6 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,4319,1,Male,10/8/2018,19813,34
152,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),101,15th St at Potrero Ave,5494,2,Male,3/27/2019,23388,1
153,32 minutes,21,Montgomery St BART Station (Market St at 2nd St),4,Cyril Magnin St at Ellis St,5027,3,Male,3/6/2018,169,28
154,10 minutes,3,Powell St BART Station (Market St at 4th St),55,Webster St at Grove St,5229,1,Male,10/1/2017,668,2
155,13 minutes,30,San Francisco Caltrain (Townsend St at 4th St),136,23rd St at San Bruno Ave,5574,2,Female,1/25/2017,2355,13
156,11 minutes,3,Powell St BART Station (Market St at 4th St),364,China Basin St at 3rd St,4748,1,Male,4/2/2019,11028,7
157,6 minutes,81,Berry St at 4th St,49,S Park St at 3rd St,3711,2,Male,9/25/2017,15330,15
158,6 minutes,16,Steuart St at Market St,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),6235,3,Male,2/19/2019,16490,13
159,13 minutes,30,San Francisco Caltrain (Townsend St at 4th St),33,Golden Gate Ave at Hyde St,967,2,Male,8/27/2021,6665,22
160,21 minutes,81,Berry St at 4th St,55,Webster St at Grove St,4969,2,Female,1/26/2018,9849,8
161,7 minutes,5,Powell St BART Station (Market St at 5th St),43,San Francisco Public Library (Grove St at Hyde St),5530,3,Female,8/4/2020,10156,0
162,18 minutes,5,Powell St BART Station (Market St at 5th St),355,23rd St at Tennessee St,5535,3,Male,8/6/2018,24796,0
163,19 minutes,5,Powell St BART Station (Market St at 5th St),355,23rd St at Tennessee St,4344,1,Female,5/5/2018,11448,8
164,13 minutes,22,Howard St at Beale St,345,Hubbell St at 16th St,3616,1,Male,4/10/2020,25642,8
165,10 minutes,81,Berry St at 4th St,15,San Francisco Ferry Building (Harry Bridges Plaza),3108,1,Male,2/28/2019,18556,26
166,1 minutes,3,Powell St BART Station (Market St at 4th St),3,Powell St BART Station (Market St at 4th St),4319,2,Male,12/18/2021,21521,25
167,8 minutes,30,San Francisco Caltrain (Townsend St at 4th St),5,Powell St BART Station (Market St at 5th St),4968,2,Female,12/4/2019,4979,23
168,3 minutes,22,Howard St at Beale St,27,Beale St at Harrison St,1718,2,Male,9/25/2019,1709,11
169,8 minutes,22,Howard St at Beale St,4,Cyril Magnin St at Ellis St,1475,2,Other,12/13/2018,20099,26
170,8 minutes,21,Montgomery St BART Station (Market St at 2nd St),58,Market St at 10th St,5253,1,Other,9/10/2020,17099,0
171,6 minutes,30,San Francisco Caltrain (Townsend St at 4th St),27,Beale St at Harrison St,5114,3,Male,3/9/2021,24787,7
172,11 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),90,Townsend St at 7th St,3432,2,Male,6/22/2020,12148,18
173,12 minutes,5,Powell St BART Station (Market St at 5th St),53,Grove St at Divisadero,4778,1,Male,5/23/2021,19651,10
174,9 minutes,81,Berry St at 4th St,3,Powell St BART Station (Market St at 4th St),2738,1,Female,5/28/2020,1835,21
175,12 minutes,81,Berry St at 4th St,130,22nd St Caltrain Station,1565,3,Female,5/4/2017,4671,14
176,4 minutes,21,Montgomery St BART Station (Market St at 2nd St),11,Davis St at Jackson St,5307,3,Female,8/25/2017,5048,5
177,16 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),55,Webster St at Grove St,4953,1,Female,7/6/2018,1908,39
178,14 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),74,Laguna St at Hayes St,4347,3,Male,2/18/2020,16885,16
179,8 minutes,22,Howard St at Beale St,323,Broadway at Kearny,5359,3,Male,11/13/2019,1596,4
180,18 minutes,5,Powell St BART Station (Market St at 5th St),109,17th St at Valencia St,4320,1,Male,1/25/2020,21834,18
181,11 minutes,22,Howard St at Beale St,104,4th St at 16th St,2473,3,Male,9/23/2020,16120,8
182,6 minutes,22,Howard St at Beale St,47,4th St at Harrison St,3225,1,Male,9/28/2020,8516,20
183,6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),100,Bryant St at 15th St,4658,2,Male,1/27/2021,10200,5
184,19 minutes,5,Powell St BART Station (Market St at 5th St),144,Precita Park,4553,1,Female,3/5/2021,14090,25
185,19 minutes,22,Howard St at Beale St,116,Mississippi St at 17th St,2564,2,Male,9/25/2018,25707,3
186,9 minutes,30,San Francisco Caltrain (Townsend St at 4th St),284,Yerba Buena Center for the Arts (Howard St at 3rd St),4982,3,Female,7/13/2019,10142,1
187,9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),26,1st St at Folsom St,5110,1,Male,4/22/2020,14789,36
188,2 minutes,81,Berry St at 4th St,93,4th St at Mission Bay Blvd S,5549,2,Male,12/7/2019,23842,14
189,14 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),93,4th St at Mission Bay Blvd S,411,1,Male,10/1/2017,14910,18
190,18 minutes,22,Howard St at Beale St,115,Jackson Playground,5407,3,Male,3/10/2017,2132,16
191,15 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),87,Folsom St at 13th St,5282,2,Male,1/21/2021,7275,28
192,10 minutes,22,Howard St at Beale St,66,3rd St at Townsend St,5438,3,Female,8/4/2020,4840,20
193,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),62,Victoria Manalo Draves Park,5381,2,Female,10/20/2018,11919,24
194,6 minutes,3,Powell St BART Station (Market St at 4th St),42,San Francisco City Hall (Polk St at Grove St),2550,2,Male,3/13/2017,1758,27
195,5 minutes,16,Steuart St at Market St,27,Beale St at Harrison St,643,1,Male,7/12/2017,13960,29
196,12 minutes,21,Montgomery St BART Station (Market St at 2nd St),76,McCoppin St at Valencia St,4609,2,Male,11/16/2018,19117,20
197,17 minutes,5,Powell St BART Station (Market St at 5th St),142,Guerrero Park,4928,2,Male,4/26/2017,8487,23
198,8 minutes,21,Montgomery St BART Station (Market St at 2nd St),323,Broadway at Kearny,2113,2,Male,11/22/2018,6605,2
199,8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),78,Folsom St at 9th St,5550,3,Male,3/7/2018,6626,39
200,9 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),81,Berry St at 4th St,4969,2,Male,5/18/2017,11387,29
201,4 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),90,Townsend St at 7th St,3109,1,Male,6/7/2017,4784,9
202,22 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),97,14th St at Mission St,5423,3,Male,4/16/2017,23457,24
203,23 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),97,14th St at Mission St,5226,2,Male,8/19/2019,3061,39
204,23 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),97,14th St at Mission St,4820,2,Male,4/17/2019,1864,28
205,5 minutes,30,San Francisco Caltrain (Townsend St at 4th St),350,8th St at Brannan St,1396,2,Male,5/25/2019,14618,5
206,17 minutes,30,San Francisco Caltrain (Townsend St at 4th St),371,Lombard St at Columbus Ave,5051,2,Male,3/1/2019,17602,12
207,14 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),116,Mississippi St at 17th St,5463,3,Female,7/6/2021,2236,7
208,6 minutes,21,Montgomery St BART Station (Market St at 2nd St),50,2nd St at Townsend St,4716,2,Male,7/28/2017,9971,3
209,6 minutes,81,Berry St at 4th St,116,Mississippi St at 17th St,4768,2,Male,9/13/2019,21381,5
210,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),5,Powell St BART Station (Market St at 5th St),4344,2,Female,4/22/2017,5250,22
211,15 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),76,McCoppin St at Valencia St,4601,2,Female,2/6/2019,16331,14
212,13 minutes,81,Berry St at 4th St,6,The Embarcadero at Sansome St,4613,2,Male,3/23/2017,17870,30
213,3 minutes,22,Howard St at Beale St,284,Yerba Buena Center for the Arts (Howard St at 3rd St),1514,1,Male,4/3/2020,20957,35
214,8 minutes,30,San Francisco Caltrain (Townsend St at 4th St),60,8th St at Ringold St,2174,2,Male,1/19/2020,1098,24
215,14 minutes,21,Montgomery St BART Station (Market St at 2nd St),30,San Francisco Caltrain (Townsend St at 4th St),967,1,Male,4/13/2021,6213,11
216,3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),91,Berry St at King St,4780,2,Male,5/18/2021,22010,8
217,3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),350,8th St at Brannan St,4426,2,Male,12/10/2020,17219,26
218,2 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),79,7th St at Brannan St,5458,2,Male,11/19/2019,12138,29
219,14 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),109,17th St at Valencia St,5029,1,Female,7/18/2018,18467,17
220,10 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),30,San Francisco Caltrain (Townsend St at 4th St),2960,2,Female,12/20/2018,14704,33
